question,path,score,relation_type
对于一名发热3天、流涕、流泪、怕光，并且耳后、颈部、面部出现充血性红色斑丘疹的2岁女童，如果她的口腔颊内侧黏膜可见白色斑点，她的隔离期应该是出疹后多久？,麻疹->诊断检查->口腔黏膜,0.66,诊断检查
一位64岁的男性患者入院，表现为头痛、呕吐，右侧肢体无力3小时，昏迷1小时，并有高血压病史12年。体检结果显示浅昏迷，左瞳孔5mm，右瞳孔2.5mm，右侧肢体偏瘫，右侧Babinski征阳性，经证实为脑出血。基于此背景，应该避免采取哪种措施？,脑出血->忌吃->高盐饮食,0.66,忌吃
一位32岁的女性患者出现1个月的低热、盗汗和腹胀，并伴有阵发性腹部绞痛以及停止排气和排便10小时。根据这些症状，针对确定疾病的诊断，目前应进行哪种首选检查？,结核性腹膜炎->症状->低热,0.68,症状
患者牙痛，面部肿胀，颊部窦道，反复流脓不愈，可能诊断为何？,智齿冠周炎->检查疾病->牙片,0.61,诊断检查
一名女性患者出现口干、尿少、厌食、恶心、软弱无力等症状，伴随有血红蛋白16 g/L，血钠132 mmol/L，CO2CP为27 mmol/L。结合这些临床表现和血液检验结果，你认为该患者可能出现了什么类型的脱水？,低渗性脱水->并发症->水钠潴留,0.55,并发症
针对一位38岁的女性患者，在假体隆乳术后出现右乳房疼痛、变硬，并伴有轻微触痛的情况下，结合其乳房外观不规则和质地变硬的体征，最可能的诊断是什么？,乳房肿块->症状->乳腺癌,0.72,症状
32岁的女性患者出现尿频、尿痛、尿急和下腹部不适2天，但没有发热和肾区叩击痛现象。尿液显微镜检查显示白细胞满视野、红细胞2~4个/HP，肾功能正常。停用抗菌药物7天后复诊，症状消失，但清洁中段尿培养结果为阳性，细菌数量为1×10^5/ml，并且为同一菌株。在这种情况下，该患者应诊断为什么？,无症状菌尿->诊断检查->尿液细菌培养,0.66,诊断检查
针对7岁患儿出现高热、昏迷、抽搐及严重低血压的情况，其粪便检查结果显示脓细胞和红细胞阳性，说明为细菌感染。为预防该病，最重要的综合措施是什么？,细菌性痢疾->易患人群->儿童,0.79,易患人群
一名6岁男性患儿，两天前经历严重车祸后撕脱伤，现体温38.5℃，四肢冰冷，全身多处皮肤瘀斑及出血点，伴有黄疸和血红蛋白尿，血压为60/35mmHg，检查发现血小板计数为55×10⁹/L，纤维蛋白原为1.2g/L，肝功能正常。患儿突然出现惊厥和意识障碍，且血红蛋白为110g/L，最可能是什么原因导致了患儿当前的症状？,DIC->症状->血小板减少,0.92,症状
肝硬化患者因腹泻发生昏迷，其血钾水平测得为2mmol/L，应该选用哪种药物进行治疗？,肝硬化->并发症->低钾血症,0.18,并发症
根据患者的症状和体征，包括腹痛、呕吐、发热16小时、体温38.9℃、血压90/60 mmHg、腹部稍隆起、腹肌紧张、压痛和反跳痛、肠鸣音减弱，尤其下腹部为甚，诊断应是什么？,急性腹膜炎->治疗方法->抗生素治疗,0.72,治疗方法
根据一个20岁男性患者出现头痛、头昏2个月，左侧肢体乏力伴恶心、呕吐近1周，以及左耳听力下降和步态不稳的症状分析，这些症状结合影像学检查，最可能诊断出什么疾病？,听神经瘤->症状->听力下降,0.85,症状
对于一名75岁的男性患者，有16年高血压病史，平时血压为170/70mmHg，实验室检测显示空腹血糖为5.6mmol/L，肌酐为180μmol/L，尿蛋白为(++)，其收缩压至少应控制在多少以下？,高血压->治疗方法->药物治疗,0.81,治疗方法
针对2岁患儿，今晨呕吐无异味且形体消瘦、面色苍白、指纹淡的症状，应首选哪种中药进行治疗？,脾胃虚弱->症状->呕吐无异味,0.78,症状
根据患者的症状和体征，包括劳累性呼吸困难、不能平卧、呼吸困难加重、咳嗽、体力受限等表现，以及体检发现，如何评估该患者的心功能分级？,心功能分级->症状->体力受限,0.82,症状
根据该患者的化验结果：蛋白尿(++++)、ANA(+)、ds-DNA抗体阳性、血常规白细胞3.2×10E9/L、血小板90×10E9/L、血清肌酶值正常，请问该患者可能诊断为什么疾病？,系统性红斑狼疮->诊断检查->ds-DNA抗体阳性,0.88,诊断检查
当一位患者因施用有机磷农药出现恶心、呕吐、腹痛、腹泻、视力模糊等症状时，急诊室处理中的首选措施是什么？,有机磷农药中毒->治疗方法->立即给予阿托品,0.93,治疗方法
针对一位38岁的女性患者，在假体隆乳术后出现右乳房疼痛、变硬，并伴有轻微触痛的情况下，结合其乳房外观不规则和质地变硬的体征，最可能的诊断是什么？,假体隆乳术->并发症->乳腺炎,0.55,并发症
一名患者的x线胸片显示肺野外有多个半透明小圆形阴影，血HCG水平为220ng/ml。结合这些信息，该患者最可能的诊断是什么？,肺炎->症状->发热,0.08,症状
根据患者黄疸消退后出现的症状，如脘腹痞闷、肢倦乏力、胁肋隐痛不适、饮食欠香、大便不调、苔薄白、脉弦细，请诊断其证候是什么？,气滞->症状->脉弦细,0.52,症状
某30岁女性患者在夏季外感后出现头痛胀痛、发热、口渴、小便黄、苔黄、脉浮数症状。在针灸治疗中，针对大椎穴，应该选择哪种具体的针刺方法？,风热感冒->治疗方法->针刺大椎穴,0.85,治疗方法
一名56岁男性，患有高血压10年，近期因工作繁忙出现头晕、头胀、胸闷等症状，并伴有气促和心慌，血压为186/112mmHg，心率为118次/min。针对该患者的治疗，最重要的措施是什么？,高血压危象->并发症->急性心功能不全,0.63,并发症
一个56岁的患者突然出现剧烈胸背部疼痛，短时间内出现截瘫或四肢瘫，病变水平以下出现痛温觉丧失而深感觉保留，同时大小便功能障碍。基于这些症状，应诊断为何种综合征？,急性脊髓前动脉综合征->症状->痛温觉丧失，深感觉保留,0.82,症状
对于一名30岁男性在车祸后30分钟出现发绀、烦躁不安、呼吸困难，并伴有左侧大块胸壁软化和两肺湿啰音的症状，首要的处理措施是什么？,胸壁软化->检查疾病->肺功能检查,0.54,诊断检查
一位45岁的女性患者经过抗甲状腺药物治疗后复发，现计划行甲状腺双侧次全切除术后，最危急的并发症是什么？,甲状腺手术->症状->术后气道阻塞,0.75,症状
25岁女性，停经2个月，尿妊娠试验阳性，近1周阴道少量出血，妇科检查显示子宫增大如7周妊娠大小，未见异常组织物排出且无压痛。根据这些症状，最可能的诊断是什么？,先兆流产->症状->阴道出血,0.92,症状
一名30岁的男性，近半年旁人发现他常常发愣，对提问无反应，持续1-2分钟，并伴有口唇咀嚼动作，每日出现多次。神经系统检查无异常，脑电图显示右颞局灶性尖波活动。根据这些症状，他应被诊断为什么类型的发作？,癫痫->症状->全身性发作,0.65,症状
一名58岁男性患者，有5年糖尿病史，服用格列本脲，但在近期出现尿频、尿痛、尿急，并于昨天昏迷。其化验结果显示空腹血糖为24.0mmol/L，血钠为148mmol/L，血尿素氮为7.08mmol/L，尿糖为+++，尿酮为++。根据这些症状和化验结果，应诊断为何种病症？,糖尿病->并发症->糖尿病酮症酸中毒,0.85,并发症
根据以下病例描述，女患者50岁，肩痛半年，颈部活动正常，压头与牵拉试验阴性，右肩三角肌萎缩，肩关节外展外旋受限，感觉无改变，X线检查显示颈椎间隙变窄和骨赘增生，而右肩关节仅有轻度骨质疏松没有其他异常。基于这些信息，该病例应诊断为哪种肩部疾病？,肩周炎->并发症->颈椎病变,0.58,并发症
一名中年男性出现腰痛、尿频、尿急，CT检查显示右肾上极有一个直径约5厘米的略低密度占位，边缘模糊并呈现环形强化，邻近肾周围有积液。这种情况下，应首先诊断为什么？,泌尿系结石->症状->腰痛,0.28,症状
患者男性，50岁，表现为头晕、乏力半年，发作性晕厥2个月，检查发现脾肋下5cm，血红蛋白200g/L，白细胞6.4×10⁹/L，血小板360×10⁹/L，中性粒细胞碱性磷酸酶强阳性，积分120分。应选用何种药物治疗？,血小板升高->症状->晕厥,0.07,症状
25岁男性患者，发热3天，体温38℃，左胸痛，查体发现左胸下部可闻胸膜摩擦音。根据这些症状和体征，诊断应是什么？,干性胸膜炎->症状->胸膜摩擦音,0.92,症状
一名50岁女性患者，在触摸左颊黏膜时感觉到左颊和左下唇出现电击样剧痛，持续数秒钟，卡马西平治疗对其有效。请问该患者最可能的诊断是什么？,三叉神经痛->疾病描述->三叉神经痛,0.25,疾病描述
请根据以下症状描述确定适宜的中药方剂：患者男，65岁，症见发热，体温可高达39℃，自汗出，渴喜温饮，少气懒言，面色苍白，大便稀溏，舌质淡，苔薄白，脉虚洪。,补中益气汤->可以治疗疾病->阳虚发热,0.73,可以治疗疾病
针对面色白、时常自汗、恶风、易感冒以及脉浮无力的症状，这位54岁女性患者宜使用何种中药进行治疗？,脉象异常->可能患有疾病->气虚,0.65,可能患有疾病
根据患者沈某的症状：身热夜甚，神烦少寐，时有谵语，脉数，舌绛而干，应选用哪种中药方剂进行治疗？,营热->症状->脉数,0.15,症状
根据一名48岁女性患者的症状，包括紧张不安、多虑、失眠、头晕、心痛、注意力不集中、阵发性心悸、胸闷和四肢无力，而头颅MRI未发现异常，请问该患者最可能被诊断为什么心理疾病？,抑郁障碍->症状->失眠,0.84,症状
一名8岁儿童出现血尿3天，每日尿量300毫升，明显浮肿，血压为22.7/16kPa（170/120mmHg），呼吸急促，不能平卧，并伴有恶心呕吐、头痛、头晕等症状，同时心音低钝且肝肋下触及2厘米。在这种情况下，什么是最紧急的处理方法？,急性肾衰竭->诊断检查->肾功能评估,0.61,诊断检查
3岁女孩，身高75cm，智力低下，鼻梁低平，舌体宽厚，常伸出口外，伴腹轻胀、便秘及脐疝的症状，这些临床表现最可能指向哪种疾病的诊断？,身材矮小+舌体宽厚+智力低下->可能患有疾病->先天性甲状腺功能减低症,0.89,可能患有疾病
一名32岁的男性因车祸导致右髋关节肿痛并活动受限，请根据X光片描述最可能的诊断类型是什么？,骨盆Ⅳ型骨折->诊断检查->X光片,0.88,诊断检查
描述一位25岁女性患者因腹痛、腹泻便秘交替3个月就诊，并在胃肠钡餐检查中发现回盲部激惹和“钡影跳跃征象”的情况下，最可能的诊断是什么？,钡影跳跃征象->可能患有疾病->克罗恩病,0.89,可能患有疾病
一位24岁的女性患者因车祸导致面部外伤，X光片显示右侧上颌骨骨折，骨折线经过鼻背、眶部并穿过颧骨上方达到翼突。请问这种情况的诊断是什么？,Le Fort III型骨折->诊断->面中部骨折,0.91,可能患有疾病
一位27岁的已婚女性患者，产后恶露35天不止，颜色深红、质地稠粘并有臭味，伴随口燥咽干，舌红，脉虚细而数。根据这些症状，应该选择哪种中药方剂进行治疗？,阴虚内热->常用药品->保阴煎,0.77,常用药品
一名26岁的女性患者出现端坐呼吸、乏力、腹胀等症状，心音遥远。其胸部正侧位摄片显示心影增大。基于这些症状和检查结果，请问该患者最可能的诊断是什么？,心包积液->症状->端坐呼吸,0.81,症状
对于药物治疗无效的反复发作室性心动过速或心室颤动的心力衰竭患者，最适宜的治疗方法是什么？,心室颤动->并发症->心源性猝死,0.18,并发症
一名50岁的男性患者在饱食后出现上腹持续性胀痛，伴有全腹压痛和反跳痛，肌紧张及肠鸣音消失等症状，经过体格检查和实验室检查后，为确定最佳的治疗方案，哪种影像学检查最有价值？,腹痛->推荐食谱->油炸食物,0.12,推荐食谱
5岁小儿0T试验1：1000浓度24小时后复诊，局部红硬结直径15mm，最恰当的处理措施是什么？,结核试验->诊断检查->结核皮试复诊,0.85,诊断检查
一位24岁女性患者突发心悸，既往有类似发作史5年，体检显示心率170次/分，血压90/50mmHg，心电图显示QRS波群正常且P波不明显。根据这些信息，最可能的诊断是什么？,房室结折返性心动过速->诊断检查->心电图,0.85,诊断检查
对于一名12岁患儿，痫病发作10年且屡发不止，并伴有智力迟钝、记忆力差、少气懒言以及肢体不温等症状，舌淡苔白，脉沉细，哪种治疗方法最为适宜？,痫病->治疗方法->中药调理,0.55,治疗方法
如果一名65岁的男性患者有上腹部无规律性隐痛两个月，因饮酒后呕吐咖啡色物质和排柏油便而就诊，体检发现血压90/60mmHg，脉搏100/min，血红蛋白90g/L，上腹部轻度压痛，肝脾未触及，在这种情况下，哪种止血措施最有效？请详细说明原因。,消化道出血->推荐食谱->清淡饮食,0.14,推荐食谱
一个1岁1个月的女孩，体重7.5kg，身高73cm，以母乳喂养为主，并在9个月时开始添加稀粥。她能独立行走，会主动叫'爸爸、妈妈'。体重小于第3百分位数，身长在第5到90百分位数之间。基于这些信息，你认为该女孩最可能的诊断是什么？,母乳喂养为主->忌吃->蜂蜜,0.42,忌吃
针对一名10个月大的女婴，长期母乳喂养且母亲素食为主，出现面色苍白、精神呆滞、贫血等症状，血红蛋白和网织红细胞水平偏低，外周血成熟红细胞以大细胞为主的情况，最佳的解决方案是什么？,维生素B12缺乏->并发症->神经系统症状,0.55,并发症
3岁女孩，身高75cm，智力低下，鼻梁低平，舌体宽厚，常伸出口外，伴腹轻胀、便秘及脐疝的症状，这些临床表现最可能指向哪种疾病的诊断？,先天性甲减->并发症->智力发育迟缓,0.78,并发症
对于一个6岁的男性儿童，摔倒后皮肤伤口持续渗血，左膝关节肿大并从关节腔抽出血性积液，此时最重要的检查是什么？,皮肤渗血->治疗方法->注射维生素K,0.33,治疗方法
男性，44岁，长期足癣，左小腿反复红肿疼痛，病变边界清晰隆起，伴腹股沟淋巴结肿大。最可能诊断？,丹毒->症状->皮肤红肿,0.87,症状
一位长期有胃病的患者，最近因为饮食不规律出现了频繁嗳气，伴随酸腐食物味的嗝逆，肠鸣音亢进，大便稀烂且夹杂食物残渣，心下痞满，舌苔微黄。请问此患者应采用哪种中医方剂进行治疗？,胃病->治疗方法->生姜泻心汤,0.95,治疗方法
一位38岁的男性患者，居住在沿海地区，腰背部疼痛已超过半年。根据提供的影像资料，他最可能被诊断为什么疾病？,布鲁氏菌病->症状->腰背部疼痛,0.36,症状
一名70岁男性患者，1年前因壶腹癌行Whipple手术，手术恢复良好。近2个月反复发热，伴寒战，最高体温达39.5℃，WBC升至15×10^9/L，血清ALT升高至121U/L，TBil为589μmol/L。CT影像显示肝内有多处直径1～2cm的低密度灶，并且边缘强化明显。根据这些临床表现和影像学特点，最可能的诊断是什么？,肝脓肿->常用药品->头孢他啶,0.42,常用药品
21岁女性患者，2年的关节痛病史，突发头晕、头痛，左上肢血压160/110mmHg，右上肢血压180/116mmHg，尿常规显示蛋白（+），血清肌酐为176μmol/L。为进一步确诊，应该进行哪项检查？,多发性大动脉炎->诊断检查->CT血管造影（CTA）,0.88,诊断检查
一名患者因全身瘙痒而抓挠皮肤，结果在皮肤上出现条索状隆起，服用抗组胺药有效，但停药后容易复发。这种症状应该被诊断为何种皮肤问题？,皮肤划纹症->症状->全身瘙痒、抓挠、条索状隆起,0.95,症状
一名患者的x线胸片显示肺野外有多个半透明小圆形阴影，血HCG水平为220ng/ml。结合这些信息，该患者最可能的诊断是什么？,生殖细胞肿瘤->症状->肺部转移,0.72,症状
足月女婴出生6小时全身黄染橘色，哭闹不安，尿色黄，舌红苔黄腻，指纹紫滞。中医治法？,黄疸->治疗方法->调理肝胆,0.53,治疗方法
男性，49岁，咳嗽1个月，X线检查发现右肺门旁有一类圆形阴影，疑诊肺癌，应首先使用什么方法进行进一步检查？,肺癌->检查方法->痰细胞学检查,0.68,诊断检查
一位27岁的已婚女性患者，产后恶露35天不止，颜色深红、质地稠粘并有臭味，伴随口燥咽干，舌红，脉虚细而数。根据这些症状，应该选择哪种中药方剂进行治疗？,阴虚内热->症状->口燥咽干,0.83,症状
针对一名患者，表现为心下痞硬，噫气不除，或反胃呕逆，吐涎沫，舌淡，苔白滑，脉弦而虚，请问应选用哪种中药方剂进行治疗？,旋覆代赭汤->并发症->痰湿阻滞,0.22,并发症
根据患者的病例描述，包括头部外伤、近期出现的头痛、头昏以及视力下降等症状，同时结合既往病史和体格检查结果，该患者最可能被诊断为何种疾病？,硬膜下血肿->诊断检查->CT扫描,0.85,诊断检查
针对一位颈部疼痛、四肢无力2年，并在检查时发现第二肋间感觉明显减弱的患者，哪种检查对于确诊最有意义？,感觉减退->治愈概率->0.4,0.12,治愈概率
"男性25岁,鼻部疖肿一周前出现,3日前受挤压后症状加重,出现发烧、脉率增快、两眼周围红肿,局部压痛,血白细胞计数升高。这种情况最可能并发了什么病症?",蜂窝织炎->症状->局部压痛,0.69,症状
24岁已婚女性患者产后4周出现恶露不断，伴有量多、色淡红、小腹空坠等症状。结合中医辨证治疗原则，应采用哪种汤剂作为首选治疗方？,产后恶露不断->治疗方法->活血化瘀汤,0.75,治疗方法
根据以下信息，患者可诊断为何种类型的高脂血症：患者女性，39岁，有皮肤黄色斑块10年，伴随胸闷2年和反复发作的胸痛1年。心电图显示心肌缺血，血压138/90mmHg，心率74次/分，节律齐，无心脏杂音。她的双侧上眼睑有扁平黄色瘤，手指和足跟肌腱处见结节状黄色瘤，两眼有明显的角膜弓。血脂测定结果为：TC 12.3mmol/L，TG 1.5mmol/L，HDL-C 1.2mmol/L，LDL-C 8.0mmol/L。家族史显示母亲有冠心病，父亲有高血压，兄妹中一个有胆固醇增高。,家族性高胆固醇血症Ⅱa型->症状->胸闷和心肌缺血,0.85,症状
一位25岁的女性患者近一周出现双侧枕部中度钝痛，站立行走时头痛加重，卧床休息时头痛减轻或消失。这种头痛最可能的原因是什么？,自发性颅内低压->症状->头痛加重,0.85,症状
一个2岁儿童出生后每天哭闹时出现嘴唇发绀，并伴有呼吸困难，最近母亲发现孩子手指末端也出现发绀，指甲末端拱形隆起和手指末节膨大，试分析导致手指变化的最可能原因是什么？,先天性心脏病->症状->呼吸困难,0.83,症状
一名26岁未产妇女，停经48日后出现阴道少量流血伴右下腹隐痛。今晨突然感到右下腹剧烈疼痛就诊。经过体格检查和相关化验检查，描述其体征和化验结果后，请问该患者最可能的诊断是什么？,异位妊娠->疾病描述->输卵管妊娠破裂,0.33,疾病描述
"在男性患者23岁入院时表现为“头痛、呕吐2天,抽搐、昏迷4小时”，脑脊液显示化脓性改变的情况下，应选择哪种抗生素作为经验性治疗？",细菌性脑膜炎->治疗方法->美罗培南,0.88,治疗方法
一名39岁女性患者出现低热、乏力、腹胀等症状，下腹触及明显肿块且体重减轻，结合影像学检查结果，最可能的诊断是什么？,卵巢癌->症状->体重减轻,0.85,症状
对于一名70岁女性急性心肌梗死患者，如果她出现急性乳头肌功能不全，心脏听诊时会出现什么体征？,急性心肌梗死->并发症->呼吸困难,0.55,并发症
一个56岁的患者突然出现剧烈胸背部疼痛，短时间内出现截瘫或四肢瘫，病变水平以下出现痛温觉丧失而深感觉保留，同时大小便功能障碍。基于这些症状，应诊断为何种综合征？,急性脊髓前动脉综合征->并发症->脊髓供血不足,0.45,并发症
对于一个7岁的孩子，出现眼睑水肿5天，血尿、少尿2天伴烦躁气促的情况，查体结果显示血压120/80mmHg，双肺底可闻少许湿啰音，心率142次/分，肝肋下2cm。在这种情况下，首先应该使用哪种药物进行治疗？,急性肾小球肾炎->并发症->肺水肿,0.58,并发症
患者出现大便赤白黏垢、腹痛绵绵、午后潮热、形瘦乏力、失眠盗汗、舌干红、少苔、脉细数等症状，应选用哪种方剂进行治疗？,阴虚->症状->午后潮热,0.68,症状
某男患者24岁，发热五至六日后热略减退，随后出现一系列症状，包括肢体无力、心烦口渴、咽喉干燥等。如果患者身热全退且食欲减退，口燥咽干较甚，应该选用哪一种中药方剂进行治疗？,津液亏损->治疗方法->益胃汤,0.95,治疗方法
对于一名29岁的已婚女性，孕2产1，剖宫产术后7个月并处于哺乳期，未避孕且未转经，最近2个月出现恶心呕吐和阴道淋漓出血7天的情况，体检显示宫颈着色，宫体前倾，大小相当于12周，极软，活动度好，尿HCG呈阳性，B超显示子宫增大且后壁有绒毛。患者要求终止妊娠，在这种情况下，可以采用哪种终止妊娠的方法？,葡萄胎->常用药品->米非司酮,0.35,常用药品
一位25岁的女性患者，停经30周，出现进食油腻食物后左上腹持续性疼痛伴发热和频繁呕吐。根据她的临床表现，最适合的首选影像学检查方法是什么？,怀孕->症状->左上腹持续性疼痛,0.3,症状
一位67岁的男性支气管哮喘患者，其缓解期表现为气短声低，咳痰清稀色白，平素自汗，怕风，常易感冒，舌淡苔白，脉细弱。根据这些症状，应该选择哪种中药方剂进行治疗？,支气管哮喘缓解期->治疗方法->玉屏风散,0.87,治疗方法
针对3岁女童叶某，出现低热、双侧腮部肿痛、咀嚼不便、咽痛等症状，中医治疗首选的方剂是什么？,流行性腮腺炎->诊断检查->咽部检查,0.75,诊断检查
一名56岁男性患者，患有肺痨五年，表现出咳嗽无力、声低懒言、痰中夹血、色淡红，以及午后低热、面白颧红等症状。舌嫩红有齿痕，苔薄白，脉细弱数。在这种情况下，若患者咳血、咯血较为严重，应优先采用何种中药来补络止血，进行治疗？,白及枇杷丸->治疗方法->补气养血,0.75,治疗方法
一名32岁的男性，右颈部肿大1个月，CT扫描显示右侧口咽及鼻咽有均匀密度的软组织肿物，双侧颈部及纵隔有多个边界清楚的肿大淋巴结。根据这些检查结果，最可能的诊断是什么？,淋巴瘤->诊断检查->活检,0.85,诊断检查
一名51岁男性，有7年溃疡病史，半年来持续上腹隐痛，进食后加重。钡餐检查显示胃粘膜增粗，胃窦部见0.3cm×0.3cm龛影，胃蠕动正常。根据这些临床表现和检查结果，最可能的诊断是什么？,胃溃疡->并发症->胃出血,0.68,并发症
根据2岁儿童出现的症状：发热4天，伴咳嗽、流涕，眼结合膜充血、流泪，耳后、颈部、发际边缘出现稀疏不规则红色斑丘疹，疹间皮肤正常以及40℃的高烧，判断该儿童最有可能患上什么疾病？,麻疹->可能患有疾病->风疹,0.05,可能患有疾病
对于一名35岁男性患者，患有血友病10年，近期出现发热、腹泻超过一个月，全身淋巴结肿大，CD4+/CD8+比值为0.8。在这样的情况中，可以使用哪种药物进行治疗？,血友病->可能患有疾病->传染性单核细胞增多症,0.17,可能患有疾病
26岁女性，停经48天，出现阴道少量流血5天，偶有腹痛。月经平素规律，体温36.6℃，脉搏80次/分钟，血压120/65 mmHg。体检显示宫颈软，宫体稍大且软，附件无异常，血常规显示血红蛋白126g/L，白细胞计数7.3×10^9/L。请根据体征和检验结果，判断最可能的诊断是什么？,阴道流血->可能患有疾病->先兆流产,0.84,可能患有疾病
患者症见肢节烦疼、肩背沉重，舌苔白腻微黄，脉濡数，内蕴湿热，外受风邪，此时应选用哪种中药方剂进行治疗？,当归拈痛汤->可以治疗疾病->筋骨关节疼痛，疏风止痛,0.83,可以治疗疾病
根据一名45岁女性患者的症状：咳嗽十余天，近三天喘促不宁，痰涎壅盛，潮热，便秘，舌苔黄腻，脉右寸实大，应使用哪种中医方剂进行治疗？,宣白承气汤->治疗方法->化痰止咳,0.78,治疗方法
一名45岁男性，有消化性溃疡病史，出现上腹部剧烈疼痛3小时并蔓延至全腹，呈持续性。查体发现板状腹，全腹压痛及反跳痛，肠鸣音消失。为了确诊病情，最重要需要做的检查是什么？,板状腹->症状->腹膜炎,0.89,症状
